vendor_group,amount_grouped,count,first_date,last_date,median_freq_days,pattern
Withdrawal ACH PAYPAL/TYPE: INST XFER ID: PAYPALSI77CO: PAYPAL NAME: STEVEN CHAPLINSKIEntry Class Code: WEB,3.218,49,2021-12-27,2023-02-06,4,Irregular
Withdrawal ACH PAYPAL/TYPE: INST XFER ID: PAYPALSI77CO: PAYPAL NAME: STEVEN CHAPLINSKIEntry Class Code: WEB,14.948333333333332,34,2022-01-04,2023-02-06,7,Weekly
Withdrawal ACH PAYPAL/TYPE: INST XFER ID: PAYPALSI77CO: PAYPALEntry Class Code: WEB,3.2266666666666666,32,2021-02-23,2021-12-13,7,Weekly
"Withdrawal ACH AppFolio, Inc. F/TYPE: WEB PMTS ID: 9001406550

CO: AppFolio, Inc. F

NAME: Steven chaplinskiEntry Class Code: WEB",2.49,23,2023-09-05,2025-06-02,30,Monthly
Withdrawal ACH PAYPAL/TYPE: INST XFER ID: PAYPALSI77CO: PAYPAL NAME: STEVEN CHAPLINSKIEntry Class Code: WEB,4.96,18,2021-12-27,2023-01-26,27,Monthly
Recurring Withdrawal Bill Payment - #000006911729/NETFLIX COM LOS GATOS CACard 2801,10.99,17,2022-03-06,2023-11-06,31,Monthly
Recurring Withdrawal Debit Card Fee/MASTERCARD ISSUER CROSS-BORDER FEEDate 04/20/23 0 3110864064 0 7333Card 2801,0.15111111111111108,17,2023-01-12,2023-12-03,11,Irregular
Recurring Withdrawal Debit Card Fee/MASTERCARD ISSUER CROSS-BORDER FEEDate 05/12/21 0 1132191600 1 7372Card 2801,0.09500000000000001,17,2021-08-12,2024-10-17,48,Irregular
Recurring Withdrawal Debit Card MC Debit/PAYPAL *LINKTREE 4029357733 AUDate 05/12/21 0 1132191600 1 7372Card 2801,6.0,17,2021-05-13,2022-10-12,31,Monthly
Withdrawal ACH PAYPAL/TYPE: INST XFER ID: PAYPALSI77CO: PAYPAL NAME: STEVEN CHAPLINSKIEntry Class Code: WEB,11.7425,17,2021-12-29,2023-02-02,30,Monthly
Withdrawal ACH PAYPAL/TYPE: INST XFER ID: PAYPALSI77CO: PAYPALEntry Class Code: WEB,39.656666666666666,17,2021-03-01,2021-11-22,11,Irregular
Withdrawal ACH PAYPAL/TYPE: INST XFER ID: PAYPALSI77CO: PAYPALEntry Class Code: WEB,14.646666666666667,16,2020-12-18,2021-12-06,18,Irregular
Withdrawal Debit Card Fee/MASTERCARD ISSUER CROSS-BORDER FEEDate 04/19/21 0 1109184122 1 7311Card 2801,0.1281818181818182,16,2021-03-17,2024-04-24,29,Monthly
Recurring Withdrawal Debit Card - MC Debit Seminol/SUPERPOWER CHATGPT MIDDLETOWN DEDate 12/17/24 0 4352703539 1 5734Card 1231,15.094999999999999,15,2023-12-21,2024-12-17,22,Irregular
Recurring Withdrawal Debit Card MC Debit/HELP.HBOMAX.COM NEW YORK NYDate 04/27/22 0 2117023223 1 5815Card 2801,17.23,15,2021-03-03,2022-04-27,30,Monthly
Withdrawal ATM Fee/ASAI 3400 B SW 34th St. Gainesville FLCard 2801,2.0,15,2021-12-05,2022-06-05,12,Irregular
"Withdrawal ATM Fee/EFT 3401 W University Ave Gainesville FL

Card 1247",2.0,15,2022-07-14,2025-03-22,17,Irregular
Withdrawal ACH CANVA PTY LIMITE/CO: CANVA PTY LIMITEDTYPE: IAT PAYPAL ID: 770510487CEntry Class Code: IAT,12.99,14,2021-10-27,2023-01-23,30,Monthly
Withdrawal ACH PAYPAL/TYPE: INST XFER ID: PAYPALSI77CO: PAYPAL NAME: STEVEN CHAPLINSKIEntry Class Code: WEB,9.015,14,2022-01-05,2023-02-16,29,Monthly
Withdrawal ACH PAYPAL/TYPE: INST XFER ID: PAYPALSI77CO: PAYPALEntry Class Code: WEB,5.032,14,2020-12-28,2021-12-13,29,Monthly
"Withdrawal ATM Fee/EFT 6419 W Newberry Rd Gainesville FL

Card 1247",2.0,14,2022-06-30,2025-05-30,26,Irregular
"Withdrawal Debit Card Fee/MASTERCARD ISSUER CROSS-BORDER FEE

Date 03/31/25 0 5090929332 0 5817

Card 1247",0.11399999999999999,14,2025-03-31,2025-06-02,1,Irregular
"Recurring Withdrawal Debit Card - MC Debit Gator/SUPERPOWER CHATGPT MIDDLETOWN DE

Date 06/05/25 0 5156229550 1 5734

Card 1247",15.0,13,2025-01-30,2025-06-06,6,Weekly
Withdrawal ACH PAYPAL/TYPE: INST XFER ID: PAYPALSI77CO: PAYPAL NAME: STEVEN CHAPLINSKIEntry Class Code: WEB,10.093333333333334,13,2022-01-12,2023-01-11,28,Monthly
"Withdrawal Bill Payment #000000352498/Adobe Park Avenue,345 San Jose CACard 1247",19.99,13,2024-02-18,2025-03-04,30,Monthly
Withdrawal Debit Card Fee/VISA INTERNATIONAL SERVICE ASSESSMENTDate 02/18/21Card 1140,0.08,13,2020-08-21,2021-02-21,5,Irregular
Withdrawal POS #000003285955/GOOGLE *YouTubePremium 1600 AmphitheatreParkw Mountain View CACard 2801,13.629999999999999,13,2022-08-20,2023-08-20,31,Monthly
Recurring Withdrawal Debit Card - MC Debit Seminol/CHATGPT SUBSCRIPTION SAN FRANCISC CADate 05/04/24 0 4125659188 0 5734Card 1231,20.0,12,2023-07-04,2024-06-05,31,Monthly
Recurring Withdrawal Debit Card - MC Debit Seminol/TUBEBUDDYCOM* 8668823239 CADate 12/03/24 0 4338443995 0 5045Card 1231,7.5,12,2023-10-17,2024-11-07,31,Monthly
Recurring Withdrawal Debit Card - MC Debit Seminol/VIDIQ SAN FRANCISC CADate 12/23/23 0 3357950683 0 5734Card 2801,10.0,12,2023-07-24,2024-12-03,31,Monthly
Withdrawal ACH PAYPAL/TYPE: INST XFER ID: PAYPALSI77CO: PAYPALEntry Class Code: WEB,9.723333333333334,12,2020-11-27,2021-12-13,21,Irregular
Withdrawal ACH Watson Realty Co/TYPE: WEB PMTS ID: 9000321157CO: Watson Realty CoEntry Class Code: WEB,1079.0,12,2023-08-01,2024-07-02,30,Monthly
Recurring Withdrawal Debit Card - MC Debit Seminol/APPLE.COM/BILL 866-712-7753 CADate 09/16/23 0 3259205559 2 5818Card 2801,2.99,11,2023-07-04,2024-09-08,15,Bi-Weekly
Withdrawal ACH Watson Realty Co/TYPE: WEB PMTS ID: 9000321157CO: Watson Realty CoEntry Class Code: WEB,995.0,11,2022-08-01,2023-06-29,31,Monthly
Withdrawal Transfer fee,8.0,11,2020-02-29,2023-08-27,122,Irregular
Recurring Withdrawal Debit Card - MC Debit Gator/OPENAI SAN FRANCISC CADate 03/08/25 0 5067339145 0 5734Card 1247,6.29875,10,2025-03-09,2025-06-03,2,Irregular
Recurring Withdrawal Debit Card - MC Debit Seminol/RUNWAY STANDARD PLAN NEWARK DEDate 12/15/24 0 4350745942 1 5734Card 1231,15.0,10,2024-01-22,2024-12-15,30,Monthly
Recurring Withdrawal Debit Card Fee/MASTERCARD ISSUER CROSS-BORDER FEEDate 06/11/22 0 2162900620 0 5734Card 2801,0.07500000000000001,10,2022-08-12,2024-09-19,30,Monthly
Recurring Withdrawal Debit Card Fee/MASTERCARD ISSUER CROSS-BORDER FEEDate 12/11/21 0 1345316936 1 5817Card 2801,0.08666666666666667,10,2021-09-13,2024-12-19,38,Irregular
Recurring Withdrawal Debit Card MC Debit/APPLE.COM/BILL 866-712-7753 CADate 06/18/23 0 3169087519 1 5818Card 2801,2.99,10,2023-04-09,2025-01-31,14,Bi-Weekly
Withdrawal ACH PAYPAL/TYPE: INST XFER ID: PAYPALSI77CO: PAYPAL NAME: STEVEN CHAPLINSKIEntry Class Code: WEB,24.97,10,2022-01-03,2023-02-17,31,Monthly
Withdrawal Debit Card Fee/MASTERCARD ISSUER CROSS-BORDER FEEDate 12/25/22 0 2359739765 0 5734Card 2801,0.16428571428571428,10,2022-10-14,2024-05-16,31,Monthly
Withdrawal Debit Card MC Debit Seminol/MIDJOURNEY INC. SOUTH SAN FR CADate 10/16/23 0 3289666656 0 5734Card 2801,30.0,10,2023-07-09,2024-02-12,30,Monthly
Withdrawal Debit Card MC Debit Seminol/MYDESIGNS - PRO - MON LAS VEGAS NVDate 09/01/23 0 3244164229 1 5734Card 2801,29.99,10,2023-09-01,2024-11-10,31,Monthly
Withdrawal Debit Card MC Debit Seminol/PADDLE.NET* LEONARDOAI ASTORIA NYDate 10/26/23 0 3299263117 0 5817Card 2801,9.0,10,2023-10-27,2024-12-17,31,Monthly
Withdrawal Debit Card MC Debit Seminol/SAMSUNG ELECTRONICS RIDGEFIELD P NJDate 12/27/24 0 4362999827 1 5734Card 1231,16.49,10,2023-10-08,2024-12-08,31,Monthly
Withdrawal POS #000002040482/GOOGLE *Google Storage 1600 AmphitheatreParkw Mountain View CACard 2801,1.99,10,2023-03-23,2023-12-23,31,Monthly
Recurring Withdrawal Debit Card - MC Debit Seminol/APPLE.COM/BILL 866-712-7753 CADate 01/08/24 0 4008756344 0 5818Card 2801,2.99,9,2024-01-09,2024-11-05,35,Irregular
Withdrawal ACH APPLECARD GSBANK/TYPE: PAYMENT ID: 9999999999 CO: APPLECARD GSBANK Entry Class Code: WEB,50.0,9,2020-04-27,2021-05-21,29,Monthly
Withdrawal ACH CAPITAL ONE/TYPE: MOBILE PMT ID: 9279744980CO: CAPITAL ONEEntry Class Code: WEB,25.0,9,2020-11-18,2021-12-01,17,Irregular
Withdrawal ACH PAYPAL/TYPE: INST XFER ID: PAYPALSI77CO: PAYPALEntry Class Code: WEB,5.766666666666667,9,2021-03-02,2021-09-07,24,Irregular
Withdrawal ACH PAYPAL/TYPE: INST XFER ID: PAYPALSI77CO: PAYPALEntry Class Code: WEB,6.995,9,2021-05-12,2021-11-22,29,Monthly
Withdrawal Debit Card Fee/MASTERCARD ISSUER CROSS-BORDER FEEDate 03/01/25 0 5060117430 2 5967Card 1247,0.15333333333333332,9,2024-01-11,2025-03-09,5,Irregular
Withdrawal Debit Card Fee/MASTERCARD ISSUER CROSS-BORDER FEEDate 10/06/23 0 3279122045 2 5815Card 2801,0.20833333333333334,9,2023-03-22,2024-05-19,24,Irregular
Withdrawal POS #000005221556/PAYPAL *VIDIQ 2211 North First StreetJose CACard 2801,10.0,9,2022-06-08,2023-02-08,31,Monthly
